
|KSFH        |87.9  MHz |FM |200 |ND  |-                   |D  |-  |LIC    |MOUNTAIN VIEW            |CA |US |BLED   -19990511KA  |0.01   kW |0.01   kW |-75.0   |-75.0   |62118      |N |37 |22 |8.00  |W |122 |5  |2.00  |ST. FRANCIS HIGH SCHOOL OF MOUNTAIN VIEW                                    |   0.00 km |   0.00 mi |  0.00 deg |74.    m|74.0   m|-         |-       |-       |27.    m|285006    |
|K200AA      |87.9  MHz |FX |200 |ND  |-                   |D  |-  |LIC    |SUN VALLEY               |NV |US |BLFT   -20060830AAE |0.028  kW |0.028  kW |144.4   |0.0     |83363      |N |39 |35 |2.00  |W |119 |47 |55.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |1689.  m|1689.0 m|72720     |-       |-       |34.    m|1146642   |
|K201AO      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |SEWARD                   |AK |US |BLFT   -19851217TA  |0.049  kW |0.     kW |0.0     |0.0     |53867      |N |60 |6  |12.00 |W |149 |26 |12.00 |PUFFIN PUBLIC BROADCASTING, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |26.    m|0.0    m|-         |0.      |-       |0.     m|84319     |
|K201AM      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |GUSTAVUS                 |AK |US |BLFT   -19870225TC  |0.051  kW |0.     kW |0.0     |0.0     |8654       |N |58 |25 |4.00  |W |135 |42 |30.00 |CAPITAL COMMUNITY BROADCASTING, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |41.    m|0.0    m|16175     |295.0   |-       |0.     m|98160     |
|K201AH      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |KAKTOVIK                 |AK |US |BLFT   -19900912TA  |0.039  kW |0.     kW |0.0     |0.0     |60378      |N |70 |7  |36.00 |W |143 |37 |8.00  |SILAKKUAGVIK COMMUNICATIONS, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |34.    m|0.0    m|16177     |60.     |-       |0.     m|152294    |
|K201AV      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |POINT LAY                |AK |US |BLFT   -19901029TE  |0.048  kW |0.     kW |0.0     |0.0     |60380      |N |69 |43 |48.00 |W |163 |0  |48.00 |SILAKKUAGVIK COMMUNICATIONS, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |9.     m|0.0    m|16177     |40.     |-       |0.     m|153882    |
|K201AL      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |PORT PROTECTION          |AK |US |BLFT   -19930224TG  |0.054  kW |0.     kW |0.0     |0.0     |47412      |N |56 |19 |16.00 |W |133 |1  |39.00 |NARROWS BROADCASTING CORPORATION                                            |   0.00 km |   0.00 mi |  0.00 deg |40.    m|0.0    m|16175     |150.0   |-       |0.     m|182174    |
|K201CH      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |CHENEGA BAY              |AK |US |BLFT   -19931004TF  |0.     kW |0.021  kW |0.0     |-136.0  |65234      |N |60 |3  |57.00 |W |148 |0  |37.00 |TERMINAL RADIO, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|26.    m|-         |-       |-       |0.     m|190597    |
|K201DA      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |KING COVE                |AK |US |BLFT   -19960619TB  |0.     kW |0.1    kW |0.0     |-145.0  |16933      |N |55 |3  |41.00 |W |162 |19 |31.00 |ALEUTIAN PENINSULA BROADCASTING, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|11.    m|15015     |97.5    |-       |9.     m|228167    |
|KCUK        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |CHEVAK                   |AK |US |BLED   -19971114KB  |6.     kW |6.     kW |24.0    |24.0    |33453      |N |61 |31 |46.00 |W |165 |35 |20.00 |KASHUNAMIUT SCHOOL DISTRICT                                                 |   0.00 km |   0.00 mi |  0.00 deg |34.    m|34.0   m|-         |-       |-       |18.    m|256873    |
|KRUA        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |ANCHORAGE                |AK |US |BLED   -20020205AAD |0.155  kW |0.155  kW |254.0   |254.0   |69007      |N |61 |20 |11.00 |W |149 |30 |48.00 |UNIVERSITY OF ALASKA - BOARD OF REGENTS                                     |   0.00 km |   0.00 mi |  0.00 deg |598.   m|598.0  m|-         |-       |-       |20.    m|593799    |
